Threading,Unity_fftw,Unity_numpy,Mac_fftw,Mac_numpy,FFTW_Percentage_Faster,NUMPY_Percentage_Faster
unthreaded,7305.704,11287.57,3614.082,4450.747,50.530681232089336,60.56948484040409
openmp,7020.346,11497.164,3632.484,4437.44,48.2577639335725,61.40404711979407
pthreads,7483.907,11632.106,3633.808,4443.884,51.445040671937804,61.79639353355274
